Exam Group,Day,Date,Time,Class Days,Class Times,Course Exceptions
1,Monday,12/12/16,8-11A,MWF,10:00A 10:30A,
2,Monday,12/12/16,11:30-2:30P,MWF,11:00A 11:30A,
3,Monday,12/12/16,3-6P,,,"CHEM 1A, CHEM 1B, CHEM 3A, CHEM 3B, CHEM 4A, CHEM 4B"
4,Monday,12/12/16,7-10P,MWF,8:00A 8:30A,
5,Tuesday,12/13/16,8-11A,TuTh,2:00P 2:30P,
6,Tuesday,12/13/16,11:30-2:30P,,,"ECON 1, ECON 100B"
7,Tuesday,12/13/16,3-6P,TuTh,9:00A 9:30A,
8,Tuesday,12/13/16,7-10P,MWF,3:00P 3:30P,
9,Wednesday,12/14/16,8-11A,TuTh,11:00A 11:30A,
10,Wednesday,12/14/16,11:30-2:30P,,,"ARABIC 1A, ARABIC 1B, ARMENI 1A, ARMENI 1B, BOSCRSR 27A, BOSCRSR 27B, BULGARI 28A, BULGARI 28B, CELTIC 15, CELTIC 85, CELTIC 16, CZECH 26A, CZECH 26B, DANISH 1A, DANISH 1B, DUTCH 1, DUTCH 2, DUTCH 3, EGYPT 100A, EGYPT 100B, EURA ST 2A, EURA ST 2B, EURA ST 289, FINNISH 1A, FINNISH 1B, FRENCH 1, FRENCH 2, FRENCH 3, FRENCH 4, GERMAN 1, GERMAN 2, GERMAN 3, HEBREW 1A, HEBREW 1B, HIN-URD 1A, HIN-URD 1B, HUNGARI 1A, HUNGARI 1B, ICELAND 1A, ICELAND 1B, ITALIAN 1, ITALIAN 1S, ITALIAN 2, ITALIAN 3, ITALIAN 4, JEWISH 101, MALAY/I 1A, MALAY/I 1B, NORWEGN 1A, NORWEGN 1B, PERSIAN 1A, PERSIAN 1B, POLISH 25A, POLISH 25B, PORTUG 8, PORTUG 11, PORTUG 12, PORTUG 26, PORTUG 101A, ROMANI 1A, ROMANI 1B, RUSSIAN 1, RUSSIAN 2, RUSSIAN 3, RUSSIAN 4, RUSSIAN 6A, RUSSIAN 6B, SANSKR 100A, SANSKR 100B, SCANDIN 101A, SCANDIN 101B, SPANISH 1, SPANISH 2, SPANISH 3, SPANISH 4, SPANISH 8, SPANISH 12, SPANISH 26, SWEDISH 1A, SWEDISH 1B, TAMIL 1A, TAMIL 1B, THAI 1A, THAI 1B, THAI 100A, THAI 100B, THAI 101A, THAI 101B, TIBETAN 1A, TIBETAN 1B, TIBETAN 10A, TIBETAN 10B, TURKISH 1A, TURKISH 1B, TURKISH 10A"
11,Wednesday,12/14/16,3-6P,TuTh,8:00A 8:30A,
11,Wednesday,12/14/16,3-6P,SaSu,,
12,Wednesday,12/14/16,7-10P,MWF,1:00P 1:30P,
13,Thursday,12/15/16,8-11A,MWF,4:00P 4:30P,
14,Thursday,12/15/16,11:30-2:30P,TuTh,5:00P 5:30P 6:00P 6:30P 7:00P 7:30P,
15,Thursday,12/15/16,3-6P,MWF,2:00P 2:30P,
16,Thursday,12/15/16,7-10P,MWF,9:00A 9:30A,
17,Friday,12/16/16,8-11A,TuTh,12:00P 12:30P 1:00P 1:30P,
18,Friday,12/16/16,11:30-2:30P,MWF,12:00P 12:30P,
19,Friday,12/16/16,3-6P,TuTh,10:00A 10:30A,
19,Friday,12/16/16,3-6P,MWF,5:00P 5:30P 6:00P 6:30P 7:00P 7:30P,
20,Friday,12/16/16,7-10P,TuTh,3:00P 3:30P 4:00P 4:30P,
